Timestamp,City,Temperature,Humidity,Heat Index,Lat,Lon
2026-04-01 15:00:00,Mandalay,37.5,30,39.1,21.9588,96.0891
2026-04-01 16:00:00,Mandalay,37.1,30,38.4,21.9588,96.0891
2026-04-01 17:00:00,Mandalay,36.6,30,37.9,21.9588,96.0891
2026-04-01 18:00:00,Mandalay,36.3,31,37.6,21.9588,96.0891
2026-04-01 19:00:00,Mandalay,34.4,38,36.3,21.9588,96.0891
2026-04-01 20:00:00,Mandalay,33.0,44,35.4,21.9588,96.0891
2026-04-01 21:00:00,Mandalay,32.1,49,35.2,21.9588,96.0891
2026-04-01 22:00:00,Mandalay,31.1,54,34.9,21.9588,96.0891
2026-04-01 23:00:00,Mandalay,30.3,58,34.4,21.9588,96.0891
2026-04-02 00:00:00,Mandalay,29.5,61,33.5,21.9588,96.0891
2026-04-02 01:00:00,Mandalay,28.2,68,32.5,21.9588,96.0891
2026-04-02 02:00:00,Mandalay,27.6,71,32.0,21.9588,96.0891
2026-04-02 03:00:00,Mandalay,27.3,74,32.2,21.9588,96.0891
2026-04-02 04:00:00,Mandalay,26.8,78,31.6,21.9588,96.0891
2026-04-02 05:00:00,Mandalay,26.9,79,32.0,21.9588,96.0891
2026-04-02 06:00:00,Mandalay,26.7,79,31.4,21.9588,96.0891
2026-04-02 07:00:00,Mandalay,28.1,70,32.1,21.9588,96.0891
2026-04-02 08:00:00,Mandalay,30.1,60,33.0,21.9588,96.0891
2026-04-02 09:00:00,Mandalay,32.3,52,34.8,21.9588,96.0891
2026-04-02 10:00:00,Mandalay,34.0,46,37.5,21.9588,96.0891
2026-04-02 11:00:00,Mandalay,35.6,42,40.0,21.9588,96.0891
2026-04-02 12:00:00,Mandalay,37.6,34,42.4,21.9588,96.0891
2026-04-02 13:00:00,Mandalay,38.9,28,42.7,21.9588,96.0891
2026-04-02 14:00:00,Mandalay,39.1,25,40.7,21.9588,96.0891
2026-04-02 15:00:00,Mandalay,39.1,24,39.0,21.9588,96.0891
2026-04-02 16:00:00,Mandalay,38.8,23,38.5,21.9588,96.0891
2026-04-02 17:00:00,Mandalay,38.0,24,38.2,21.9588,96.0891
2026-04-02 18:00:00,Mandalay,37.3,26,38.2,21.9588,96.0891
2026-04-02 19:00:00,Mandalay,35.9,34,38.2,21.9588,96.0891
2026-04-02 20:00:00,Mandalay,34.4,42,37.8,21.9588,96.0891
2026-04-02 21:00:00,Mandalay,33.3,44,36.6,21.9588,96.0891
2026-04-02 22:00:00,Mandalay,32.0,45,34.7,21.9588,96.0891
2026-04-02 23:00:00,Mandalay,31.3,45,33.4,21.9588,96.0891
2026-04-03 00:00:00,Mandalay,30.6,43,31.4,21.9588,96.0891
2026-04-03 01:00:00,Mandalay,29.6,47,31.0,21.9588,96.0891
2026-04-03 02:00:00,Mandalay,29.2,50,31.5,21.9588,96.0891
2026-04-03 03:00:00,Mandalay,28.9,51,31.2,21.9588,96.0891
2026-04-03 04:00:00,Mandalay,28.1,54,30.2,21.9588,96.0891
2026-04-03 05:00:00,Mandalay,27.4,58,29.9,21.9588,96.0891
2026-04-03 06:00:00,Mandalay,26.7,65,30.0,21.9588,96.0891
2026-04-03 07:00:00,Mandalay,27.8,67,32.0,21.9588,96.0891
2026-04-03 08:00:00,Mandalay,30.7,50,33.7,21.9588,96.0891
2026-04-03 09:00:00,Mandalay,33.0,42,35.4,21.9588,96.0891
2026-04-03 10:00:00,Mandalay,35.2,34,38.5,21.9588,96.0891
2026-04-03 11:00:00,Mandalay,36.9,29,39.9,21.9588,96.0891
2026-04-03 12:00:00,Mandalay,38.2,29,42.8,21.9588,96.0891
2026-04-03 13:00:00,Mandalay,39.2,25,42.8,21.9588,96.0891
2026-04-03 14:00:00,Mandalay,39.8,23,42.0,21.9588,96.0891
2026-04-03 15:00:00,Mandalay,39.8,21,40.1,21.9588,96.0891
2026-04-03 16:00:00,Mandalay,39.4,21,39.2,21.9588,96.0891
2026-04-03 17:00:00,Mandalay,38.5,22,38.6,21.9588,96.0891
2026-04-03 18:00:00,Mandalay,36.5,29,37.4,21.9588,96.0891
2026-04-03 19:00:00,Mandalay,34.3,35,35.6,21.9588,96.0891
2026-04-03 20:00:00,Mandalay,33.1,40,35.2,21.9588,96.0891
2026-04-03 21:00:00,Mandalay,32.5,48,36.3,21.9588,96.0891
2026-04-03 22:00:00,Mandalay,31.6,47,34.5,21.9588,96.0891
2026-04-03 23:00:00,Mandalay,30.1,54,33.1,21.9588,96.0891
2026-04-04 00:00:00,Mandalay,29.3,56,32.1,21.9588,96.0891
2026-04-04 01:00:00,Mandalay,28.9,59,32.0,21.9588,96.0891
2026-04-04 02:00:00,Mandalay,28.5,61,31.7,21.9588,96.0891
2026-04-04 03:00:00,Mandalay,28.3,60,31.2,21.9588,96.0891
